conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum
Israel,ISR,30.0594,-1.9439,31.4329786422529,34.99113819680111,3730.6015419851105,1,0
Israel,ISR,31.2358,30.0444,31.4329786422529,34.99113819680111,391.15730070142325,97,0
Israel,ISR,32.5,15.6,31.4329786422529,34.99113819680111,1771.775925189935,2,2
Israel,ISR,32.5811,0.3136,31.4329786422529,34.99113819680111,3453.6659041198363,1,0
Israel,ISR,32.85,39.93,31.4329786422529,34.99113819680111,962.4027676714431,13,0
Israel,ISR,33,35,31.4329786422529,34.99113819680111,436.9653737860552,1,0
Israel,ISR,33.365,35.1725,31.4329786422529,34.99113819680111,441.5142370026713,1,0
Israel,ISR,34.2586,31.2725,31.4329786422529,34.99113819680111,71.93674452736803,1,0
Israel,ISR,34.3618,27.9654,31.4329786422529,34.99113819680111,389.1651038291301,1,1
Israel,ISR,34.456,31.5069,31.4329786422529,34.99113819680111,51.51181645377665,3,0
Israel,ISR,34.75,31.5,31.4329786422529,34.99113819680111,24.091576985420545,30,0
Israel,ISR,34.78,32.08,31.4329786422529,34.99113819680111,74.47986710134707,9,1
Israel,ISR,35,39,31.4329786422529,34.99113819680111,839.5243221392233,1,0
Israel,ISR,35.0056,29.5319,31.4329786422529,34.99113819680111,210.7594122765191,4,1
Israel,ISR,35.1399,33.1183,31.4329786422529,34.99113819680111,187.41277999538798,2,0
Israel,ISR,35.2034,31.9038,31.4329786422529,34.99113819680111,55.95136591140496,8,0
Israel,ISR,35.2256,31.7789,31.4329786422529,34.99113819680111,44.34172954027965,18,0
Israel,ISR,35.2884,32.0327,31.4329786422529,34.99113819680111,72.21903150150315,1,0
Israel,ISR,35.3027,31.9466,31.4329786422529,34.99113819680111,64.15582950618398,4,0
Israel,ISR,35.5057,33.8983,31.4329786422529,34.99113819680111,277.62731338075105,14,0
Israel,ISR,35.8333,33.8333,31.4329786422529,34.99113819680111,277.6702241543882,6,0
Israel,ISR,35.8344,34.4367,31.4329786422529,34.99113819680111,342.32596520996555,1,0
Israel,ISR,35.9328,31.9497,31.4329786422529,34.99113819680111,106.08005798421574,21,0
Israel,ISR,36,31,31.4329786422529,34.99113819680111,107.45139249282099,8,0
